id,name,entity,text,description,url,keywords,hashtags,PARENT_TACTICS,PARENT_TECHNIQUES,PARENT_MITIGATIONS,PARENT_CASESTUDIES,CHILD_TECHNIQUES
AML.TA0010,Exfiltration,tactic,"
Exfiltration is a tactic that involves adversaries stealing AI artifacts or sensitive information from a compromised system, typically by transferring data out via command-and-control or alternative channels, often with size restrictions on the transmission.","The adversary is trying to steal AI artifacts or other information about the AI system.

Exfiltration consists of techniques that adversaries may use to steal data from your network.
Data may be stolen for its valuable intellectual property, or for use in staging future operations.

Techniques for getting data out of a target network typically include transferring it over their command and control channel or an alternate channel and may also include putting size limits on the transmission.",https://atlas.mitre.org/tactics/AML.TA0010,"[
  ""exfiltration"",
  ""steal AI artifacts"",
  ""data exfiltration"",
  ""command and control channel"",
  ""alternate channel"",
  ""size limits transmission""
]","[""#tactic/exfiltration""]",[],[],[],[],"['AML.T0024', 'AML.T0024.000', 'AML.T0024.001', 'AML.T0024.002', 'AML.T0025', 'AML.T0056', 'AML.T0057', 'AML.T0077', 'AML.T0086']"
AML.TA0011,Impact,tactic,"
Impact is a tactic that adversaries use to disrupt availability or compromise integrity of AI systems and data by manipulating business and operational processes. It includes techniques that tamper with or destroy data, alter processes to benefit the adversary, and may serve as cover for broader breaches.","The adversary is trying to manipulate, interrupt, erode confidence in, or destroy your AI systems and data.

Impact consists of techniques that adversaries use to disrupt availability or compromise integrity by manipulating business and operational processes.
Techniques used for impact can include destroying or tampering with data.
In some cases, business processes can look fine, but may have been altered to benefit the adversaries' goals.
These techniques might be used by adversaries to follow through on their end goal or to provide cover for a confidentiality breach.",https://atlas.mitre.org/tactics/AML.TA0011,"[
  ""Impact"",
  ""AI systems disruption"",
  ""data manipulation"",
  ""business process alteration"",
  ""confidence erosion"",
  ""availability disruption"",
  ""integrity compromise"",
  ""data destruction""
]","[""#tactic/impact""]",[],[],[],[],"['AML.T0015', 'AML.T0029', 'AML.T0031', 'AML.T0034', 'AML.T0034.000', 'AML.T0034.001', 'AML.T0034.002', 'AML.T0046', 'AML.T0048', 'AML.T0048.000', 'AML.T0048.001', 'AML.T0048.002', 'AML.T0048.003', 'AML.T0048.004', 'AML.T0059', 'AML.T0101', 'AML.T0112', 'AML.T0112.000', 'AML.T0112.001']"
AML.TA0012,Privilege Escalation,tactic,"
Privilege Escalation is a tactic where adversaries aim to obtain higher‑level permissions on a system or network, exploiting weaknesses, misconfigurations, or vulnerabilities to achieve elevated access such as SYSTEM/root or administrator accounts, often enabling further objectives and overlapping with persistence.","The adversary is trying to gain higher-level permissions.

Privilege Escalation consists of techniques that adversaries use to gain higher-level permissions on a system or network. Adversaries can often enter and explore a network with unprivileged access but require elevated permissions to follow through on their objectives. Common approaches are to take advantage of system weaknesses, misconfigurations, and vulnerabilities. Examples of elevated access include:
- SYSTEM/root level
- local administrator
- user account with admin-like access
- user accounts with access to specific system or perform specific function

These techniques often overlap with Persistence techniques, as OS features that let an adversary persist can execute in an elevated context.
",https://atlas.mitre.org/tactics/AML.TA0012,"[
  ""Privilege Escalation"",
  ""higher-level permissions"",
  ""elevated access"",
  ""SYSTEM/root level"",
  ""local administrator"",
  ""system weaknesses"",
  ""misconfigurations"",
  ""vulnerabilities""
]","[""#tactic/privilege-escalation""]",[],[],[],[],"['AML.T0012', 'AML.T0053', 'AML.T0054', 'AML.T0105']"
AML.TA0013,Credential Access,tactic,"
Credential Access is a tactic that involves stealing account names and passwords through methods such as keylogging or credential dumping, allowing adversaries to use legitimate credentials for stealthy system access and persistence.","The adversary is trying to steal account names and passwords.

Credential Access consists of techniques for stealing credentials like account names and passwords. Techniques used to get credentials include keylogging or credential dumping. Using legitimate credentials can give adversaries access to systems, make them harder to detect, and provide the opportunity to create more accounts to help achieve their goals.
",https://atlas.mitre.org/tactics/AML.TA0013,"[
  ""Credential Access"",
  ""steal account names and passwords"",
  ""keylogging"",
  ""credential dumping"",
  ""legitimate credentials"",
  ""system access"",
  ""adversary access""
]","[""#tactic/credential-access""]",[],[],[],[],"['AML.T0055', 'AML.T0082', 'AML.T0083', 'AML.T0090', 'AML.T0098', 'AML.T0106']"
AML.TA0014,Command and Control,tactic,"
Command and Control is a tactic that describes adversary techniques for communicating with compromised AI systems to issue instructions and maintain influence, emphasizing stealthy, mimicry of normal traffic to evade detection within victim networks.","The adversary is trying to communicate with compromised AI systems to control them.

Command and Control consists of techniques that adversaries may use to communicate with systems under their control within a victim network. Adversaries commonly attempt to mimic normal, expected traffic to avoid detection. There are many ways an adversary can establish command and control with various levels of stealth depending on the victim's network structure and defenses.",https://atlas.mitre.org/tactics/AML.TA0014,"[
  ""Command and Control"",
  ""compromised AI systems"",
  ""adversary communication"",
  ""stealthy command"",
  ""mimic normal traffic"",
  ""control compromised systems""
]","[""#tactic/command-and-control""]",[],[],[],[],"['AML.T0072', 'AML.T0096', 'AML.T0108']"
AML.TA0015,Lateral Movement,tactic,"
Lateral Movement is a tactic ... that describes adversary techniques for moving through an AI environment, pivoting to components such as model registries, experiment trackers, vector databases, notebooks, and training pipelines, and targeting AI agents with elevated permissions.","The adversary is trying to move through your AI environment.

Lateral Movement consists of techniques that adversaries may use to gain access to and control other systems or components in the environment. Adversaries may pivot towards AI Ops infrastructure such as model registries, experiment trackers, vector databases, notebooks, or training pipelines. As the adversary moves through the environment, they may discover means of accessing additional AI-related tools, services, or applications. AI agents may also be a valuable target as they commonly have more permissions than standard user accounts on the system.",https://atlas.mitre.org/tactics/AML.TA0015,"[
  ""Lateral Movement"",
  ""AI environment movement"",
  ""model registries"",
  ""experiment trackers"",
  ""vector databases"",
  ""training pipelines"",
  ""AI agents"",
  ""elevated permissions""
]","[""#tactic/lateral-movement""]",[],[],[],[],"['AML.T0052', 'AML.T0052.000', 'AML.T0052.001', 'AML.T0091', 'AML.T0091.000']"
AML.T0000,Search Open Technical Databases,technique,"
Search Open Technical Databases is a technique where adversaries gather publicly available research and documentation about AI usage within a target organization to identify potential attack surfaces and tailor malicious activities. This enables the creation of more realistic proxy AI models for subsequent operations.","Adversaries may search for publicly available research and technical documentation to learn how and where AI is used within a victim organization.
The adversary can use this information to identify targets for attack, or to tailor an existing attack to make it more effective.
Organizations often use open source model architectures trained on additional proprietary data in production.
Knowledge of this underlying architecture allows the adversary to craft more realistic proxy models ([Create Proxy AI Model](/techniques/AML.T0005)).
An adversary can search these resources for publications for authors employed at the victim organization.

Research and technical materials may exist as academic papers published in [Journals and Conference Proceedings](/techniques/AML.T0000.000), or stored in [Pre-Print Repositories](/techniques/AML.T0000.001), as well as [Technical Blogs](/techniques/AML.T0000.002).",https://atlas.mitre.org/techniques/AML.T0000,"[
  ""search open technical databases"",
  ""publicly available research"",
  ""technical documentation"",
  ""AI usage identification"",
  ""proxy AI model creation"",
  ""academic papers"",
  ""pre-print repositories"",
  ""technical blogs""
]","[""#tactic/reconnaissance"", ""#technique/search-open-technical-databases""]",['AML.TA0002'],[],['AML.M0000'],"['AML.CS0001', 'AML.CS0003', 'AML.CS0005', 'AML.CS0007', 'AML.CS0010', 'AML.CS0011', 'AML.CS0012', 'AML.CS0048']","['AML.T0000.000', 'AML.T0000.001', 'AML.T0000.002']"
AML.T0000.000,Search Open Technical Databases: Journals and Conference Proceedings,technique,"
Search Open Technical Databases: Journals and Conference Proceedings is a technique that involves querying open‑access AI journals and conference proceedings to retrieve detailed publications, often from commercial labs, which adversaries can use to replicate or adapt described methods.","Many of the publications accepted at premier artificial intelligence conferences and journals come from commercial labs.
Some journals and conferences are open access, others may require paying for access or a membership.
These publications will often describe in detail all aspects of a particular approach for reproducibility.
This information can be used by adversaries to implement the paper.",https://atlas.mitre.org/techniques/AML.T0000.000,"[
  ""Search Open Technical Databases"",
  ""Journals and Conference Proceedings"",
  ""open access AI publications"",
  ""adversary replication"",
  ""commercial lab papers"",
  ""technical approach details""
]","[""#tactic/reconnaissance"", ""#technique/search-open-technical-databases"", ""#subtechnique/search-open-technical-databases-journals-and-conference-proceedings""]",['AML.TA0002'],['AML.T0000'],[],[],[]
AML.T0000.001,Search Open Technical Databases: Pre-Print Repositories,technique,"
Search Open Technical Databases: Pre-Print Repositories is a technique that enables adversaries to query pre‑print servers such as arXiv to obtain recent, non‑peer‑reviewed research papers and technical reports, giving them an up‑to‑date view of the victim organization’s current R&D activities.","Pre-Print repositories, such as arXiv, contain the latest academic research papers that haven't been peer reviewed.
They may contain research notes, or technical reports that aren't typically published in journals or conference proceedings.
Pre-print repositories also serve as a central location to share papers that have been accepted to journals.
Searching pre-print repositories  provide adversaries with a relatively up-to-date view of what researchers in the victim organization are working on.
",https://atlas.mitre.org/techniques/AML.T0000.001,"[
  ""Search Open Technical Databases: Pre-Print Repositories"",
  ""pre-print repositories"",
  ""arXiv"",
  ""academic research papers"",
  ""technical reports"",
  ""R&D activities"",
  ""non-peer-reviewed research""
]","[""#tactic/reconnaissance"", ""#technique/search-open-technical-databases"", ""#subtechnique/search-open-technical-databases-pre-print-repositories""]",['AML.TA0002'],['AML.T0000'],[],['AML.CS0000'],[]
AML.T0000.002,Search Open Technical Databases: Technical Blogs,technique,"
Search Open Technical Databases: Technical Blogs is a technique that involves adversaries researching public blog posts and technical articles from academic labs and corporate R&D to understand how a target organization deploys AI, including the underlying frameworks, APIs, and use cases, enabling tailored attacks.","Research labs at academic institutions and company R&D divisions often have blogs that highlight their use of artificial intelligence and its application to the organization's unique problems.
Individual researchers also frequently document their work in blogposts.
An adversary may search for posts made by the target victim organization or its employees.
In comparison to [Journals and Conference Proceedings](/techniques/AML.T0000.000) and [Pre-Print Repositories](/techniques/AML.T0000.001) this material will often contain more practical aspects of the AI system.
This could include underlying technologies and frameworks used, and possibly some information about the API access and use case.
This will help the adversary better understand how that organization is using AI internally and the details of their approach that could aid in tailoring an attack.",https://atlas.mitre.org/techniques/AML.T0000.002,"[
  ""Search Open Technical Databases: Technical Blogs"",
  ""technical blogs"",
  ""AI system details"",
  ""adversary research"",
  ""target organization AI use"",
  ""blog posts research"",
  ""technical articles"",
  ""AI deployment understanding""
]","[""#tactic/reconnaissance"", ""#technique/search-open-technical-databases"", ""#subtechnique/search-open-technical-databases-technical-blogs""]",['AML.TA0002'],['AML.T0000'],[],[],[]
AML.T0001,Search Open AI Vulnerability Analysis,technique,"
Search Open AI Vulnerability Analysis is a technique that involves adversaries researching publicly available analyses of AI model weaknesses, including academic papers and existing attack implementations, to identify exploitable vulnerabilities before targeting a system.","Much like the [Search Open Technical Databases](/techniques/AML.T0000), there is often ample research available on the vulnerabilities of common AI models. Once a target has been identified, an adversary will likely try to identify any pre-existing work that has been done for this class of models.
This will include not only reading academic papers that may identify the particulars of a successful attack, but also identifying pre-existing implementations of those attacks. The adversary may obtain [Adversarial AI Attack Implementations](/techniques/AML.T0016.000) or develop their own [Adversarial AI Attacks](/techniques/AML.T0017.000) if necessary.",https://atlas.mitre.org/techniques/AML.T0001,"[
  ""Search Open AI Vulnerability Analysis"",
  ""AI model weaknesses"",
  ""academic papers"",
  ""adversarial AI attack implementations"",
  ""exploitable vulnerabilities""
]","[""#tactic/reconnaissance"", ""#technique/search-open-ai-vulnerability-analysis""]",['AML.TA0002'],[],[],[],[]
AML.T0002,Acquire Public AI Artifacts,technique,"
Acquire Public AI Artifacts is a technique where adversaries gather publicly available AI-related assets such as model code, training data, configurations, and parameters from sources like cloud storage, public repositories, or victim‑owned infrastructure. This enables reconnaissance on the victim’s AI stack and supports downstream model creation or adversarial data crafting.","Adversaries may search public sources, including cloud storage, public-facing services, and software or data repositories, to identify AI artifacts.
These AI artifacts may include the software stack used to train and deploy models, training and testing data, model configurations and parameters.
An adversary will be particularly interested in artifacts hosted by or associated with the victim organization as they may represent what that organization uses in a production environment.
Adversaries may identify artifact repositories via other resources associated with the victim organization (e.g. [Search Victim-Owned Websites](/techniques/AML.T0003) or [Search Open Technical Databases](/techniques/AML.T0000)).
These AI artifacts often provide adversaries with details of the AI task and approach.

AI artifacts can aid in an adversary's ability to [Create Proxy AI Model](/techniques/AML.T0005).
If these artifacts include pieces of the actual model in production, they can be used to directly [Craft Adversarial Data](/techniques/AML.T0043).
Acquiring some artifacts requires registration (providing user details such email/name), AWS keys, or written requests, and may require the adversary to [Establish Accounts](/techniques/AML.T0021).

Artifacts might be hosted on victim-controlled infrastructure, providing the victim with some information on who has accessed that data.",https://atlas.mitre.org/techniques/AML.T0002,"[
  ""Acquire Public AI Artifacts"",
  ""public AI artifacts"",
  ""AI model code"",
  ""training data"",
  ""model configurations"",
  ""cloud storage"",
  ""public repositories"",
  ""victim-owned infrastructure""
]","[""#tactic/resource-development"", ""#technique/acquire-public-ai-artifacts""]",['AML.TA0003'],[],[],"['AML.CS0001', 'AML.CS0006', 'AML.CS0011']","['AML.T0002.000', 'AML.T0002.001', 'AML.T0002.002']"
AML.T0002.000,Acquire Public AI Artifacts: Datasets,technique,"
Acquire Public AI Artifacts: Datasets is a technique that involves gathering publicly available datasets—often from cloud storage or victim‑owned sites—to support operational planning, attack staging, and tailoring malicious activity. It may require establishing accounts for access and enables adversaries to leverage representative data for targeted attacks.","Adversaries may collect public datasets to use in their operations.
Datasets used by the victim organization or datasets that are representative of the data used by the victim organization may be valuable to adversaries.
Datasets can be stored in cloud storage, or on victim-owned websites.
Some datasets require the adversary to [Establish Accounts](/techniques/AML.T0021) for access.

Acquired datasets help the adversary advance their operations, stage attacks,  and tailor attacks to the victim organization.
",https://atlas.mitre.org/techniques/AML.T0002.000,"[
  ""Acquire Public AI Artifacts: Datasets"",
  ""public datasets"",
  ""cloud storage"",
  ""victim-owned websites"",
  ""adversary operations"",
  ""attack staging"",
  ""tailored attacks""
]","[""#tactic/resource-development"", ""#technique/acquire-public-ai-artifacts"", ""#subtechnique/acquire-public-ai-artifacts-datasets""]",['AML.TA0003'],['AML.T0002'],['AML.M0001'],"['AML.CS0000', 'AML.CS0005', 'AML.CS0007', 'AML.CS0012', 'AML.CS0014', 'AML.CS0025']",[]
AML.T0002.001,Acquire Public AI Artifacts: Models,technique,"
Acquire Public AI Artifacts: Models is a technique in which adversaries obtain publicly available AI models or model artifacts to study, replicate, or repurpose them for attacks, often by searching for configuration files and model formats such as ONNX, HDF5, or PyTorch to tailor malicious use.","Adversaries may acquire public models to use in their operations.
Adversaries may seek models used by the victim organization or models that are representative of those used by the victim organization.
Representative models may include model architectures, or pre-trained models which define the architecture as well as model parameters from training on a dataset.
The adversary may search public sources for common model architecture configuration file formats such as YAML or Python configuration files, and common model storage file formats such as ONNX (.onnx), HDF5 (.h5), Pickle (.pkl), PyTorch (.pth), or TensorFlow (.pb, .tflite).

Acquired models are useful in advancing the adversary's operations and are frequently used to tailor attacks to the victim model.
",https://atlas.mitre.org/techniques/AML.T0002.001,"[
  ""Acquire Public AI Artifacts: Models"",
  ""public models"",
  ""model architecture configuration"",
  ""ONNX HDF5 PyTorch TensorFlow"",
  ""adversary model acquisition"",
  ""model artifacts"",
  ""tailored attacks""
]","[""#tactic/resource-development"", ""#technique/acquire-public-ai-artifacts"", ""#subtechnique/acquire-public-ai-artifacts-models""]",['AML.TA0003'],['AML.T0002'],"['AML.M0001', 'AML.M0014']","['AML.CS0005', 'AML.CS0007', 'AML.CS0013', 'AML.CS0019']",[]
AML.T0002.002,Acquire Public AI Artifacts: AI Agent Configuration,technique,"
Acquire Public AI Artifacts: AI Agent Configuration is a technique in which adversaries obtain publicly accessible AI agent configuration files to map agent capabilities, extract credentials, and exploit system prompts, tool integrations, and workflow definitions. These files, which may include system prompts, MCP configs, IDE settings, and deployment parameters, reveal tools, data sources, and security secrets that enable further reconnaissance, credential harvesting, or tool misuse.","Adversaries may acquire publicly accessible AI agent configuration files to understand agent capabilities, gain unauthorized access to tools and data sources, or identify credentials for further attacks. Configuration files define what tools an agent can use, credentials for external services, system prompts, and behavioral settings, making valuable resources for adversaries targeting AI agent deployments.

Once configuration files are acquired, adversaries may perform [Discover AI Agent Configuration](/techniques/AML.T0084) to gain additional insights they can use in their operation or [Credentials from AI Agent Configuration](/techniques/AML.T0083) to harvest secrets.

AI agent configuration files come in multiple forms depending on the platform and agent framework. Agent configuration files adversaries may target include:
- System prompts: Files containing agent instructions, behavioral guidelines, and internal logic.
- Tool configuration: Files defining tools the agent can utilize, including Model Context Protocol (MCP) configs (e.g., `mcp.json`, `claude_desktop_config.json`), IDE-specific configs (e.g., `.claude/settings.json`, `.vscode/tasks.json`), and framework-specific settings that define external tool and data source integrations.
- Skills and workflows: Files defining agent capabilities, behaviors, or workflows. Often a combination of instructions, scripts, and resources.
- Environment and deployment configs: Files that control agent deployment and runtime behavior, often environment variables or framework-specific configs.",https://atlas.mitre.org/techniques/AML.T0002.002,"[
  ""AI agent configuration"",
  ""public AI artifacts"",
  ""system prompts"",
  ""tool configuration"",
  ""MCP configs"",
  ""credentials extraction"",
  ""agent capabilities"",
  ""workflow definitions""
]","[""#tactic/resource-development"", ""#technique/acquire-public-ai-artifacts"", ""#subtechnique/acquire-public-ai-artifacts-ai-agent-configuration""]",['AML.TA0003'],['AML.T0002'],[],['AML.CS0051'],[]
